Timestamp,Card Name,Card Types,Mana Value ,Power,Toughness
02/04/2026 12:59:53,Lonely Sandbar,Land,0,,
02/04/2026 13:00:13,Deny Reality,Sorcery,3UB,,
02/04/2026 13:00:37,"Guile, Sonic Soldier","Legendary, Creature",1URW,4,4
02/04/2026 13:00:57,Mindstorm Crown,Artifact,3,,
02/04/2026 13:01:25,Terminate,Instant,0BR,,
02/04/2026 13:01:49,Phantom Warrior,Creature,1UU,2,2
02/04/2026 13:02:14,Revitalize,Instant,1W,,
02/04/2026 13:02:46,Diver Skaab,Creature,3UU,3,5
02/04/2026 13:03:09,Treetop Ambusher,Creature,1G,2,1
02/04/2026 13:03:36,Mitotic Slime,Creature,4G,4,4
02/04/2026 13:04:19,"Haliya, Guided by Light","Legendary, Creature",2W,3,3
02/04/2026 13:05:11,Scholar of New Horizons,Creature,1W,1,1
02/04/2026 13:05:35,Territorial Hellkite,Creature,2RR,6,5
02/04/2026 13:05:55,Urza's Power Plant,Land,0,,
02/04/2026 13:06:20,Digsite Engineer,Creature,2W,3,3
02/04/2026 13:06:50,Throw from the Saddle,Sorcery,1G,,
02/04/2026 13:07:33,"Nardole, Resourceful Cybord","Legendary, Artifact, Creature",1U,1,2
02/04/2026 13:07:51,Plains,Land,0,,
02/04/2026 13:08:26,Pouncing Jaguar,Creature,0G,2,2
02/04/2026 13:08:59,Swathcutter Giant,Creature,4RW,5,5
02/04/2026 13:09:28,Basking Broodscale,Creature,1G,2,2
